epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0276,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001667,0.0001667,0.0001667
2,45.5994,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000343139,0.000343139,0.000343139
3,72.4683,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000512316,0.000512316,0.000512316
4,94.9667,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000674231,0.000674231,0.000674231
5,117.541,nan,nan,nan,0.00022,0.00073,0.00011,8e-05,nan,nan,nan,0.000828886,0.000828886,0.000828886
6,144.99,nan,nan,nan,0.00022,0.00073,0.00011,0.0001,nan,nan,nan,0.000976279,0.000976279,0.000976279
7,167.579,nan,nan,nan,0.00045,0.00146,0.00023,0.00014,nan,nan,nan,0.00111641,0.00111641,0.00111641
8,190.177,nan,nan,nan,0.00141,0.00437,0.00071,0.00053,nan,nan,nan,0.00124928,0.00124928,0.00124928
9,212.783,nan,nan,nan,0.0014,0.00437,0.00071,0.00053,nan,nan,nan,0.00137489,0.00137489,0.00137489
10,235.375,nan,nan,nan,0.00292,0.00875,0.00148,0.001,nan,nan,nan,0.00136994,0.00136994,0.00136994
11,257.99,nan,nan,nan,0.00418,0.01239,0.00215,0.00153,nan,nan,nan,0.00133693,0.00133693,0.00133693
12,285.255,nan,nan,nan,0.00429,0.01239,0.00221,0.00165,nan,nan,nan,0.00130393,0.00130393,0.00130393
13,307.864,nan,nan,nan,0.00485,0.01385,0.00249,0.00187,nan,nan,nan,0.00127092,0.00127092,0.00127092
14,339.418,nan,nan,nan,0.00387,0.01093,0.00198,0.00153,nan,nan,nan,0.00123791,0.00123791,0.00123791
15,361.857,nan,nan,nan,0.00392,0.01093,0.002,0.00155,nan,nan,nan,0.00120491,0.00120491,0.00120491
16,393.154,nan,nan,nan,0.00369,0.0102,0.00189,0.00152,nan,nan,nan,0.0011719,0.0011719,0.0011719
17,415.614,nan,nan,nan,0.0043,0.01166,0.0022,0.00167,nan,nan,nan,0.00113889,0.00113889,0.00113889
18,438.167,nan,nan,nan,0.00405,0.01093,0.00207,0.00164,nan,nan,nan,0.00110589,0.00110589,0.00110589
19,460.722,nan,nan,nan,0.00321,0.00875,0.00164,0.00138,nan,nan,nan,0.00107288,0.00107288,0.00107288
20,483.296,nan,nan,nan,0.00372,0.0102,0.0019,0.00157,nan,nan,nan,0.00103987,0.00103987,0.00103987
21,505.778,nan,nan,nan,0.00429,0.01166,0.0022,0.00173,nan,nan,nan,0.00100687,0.00100687,0.00100687
22,528.287,nan,nan,nan,0.00565,0.01531,0.00291,0.0021,nan,nan,nan,0.000973861,0.000973861,0.000973861
23,550.885,nan,nan,nan,0.00567,0.01531,0.00292,0.00205,nan,nan,nan,0.000940855,0.000940855,0.000940855
24,573.461,nan,nan,nan,0.00479,0.01312,0.00246,0.00185,nan,nan,nan,0.000907848,0.000907848,0.000907848
25,596.003,nan,nan,nan,0.00556,0.01531,0.00287,0.00207,nan,nan,nan,0.000874842,0.000874842,0.000874842
26,618.55,nan,nan,nan,0.00397,0.01093,0.00203,0.00166,nan,nan,nan,0.000841835,0.000841835,0.000841835
27,641.015,nan,nan,nan,0.00324,0.00875,0.00166,0.00139,nan,nan,nan,0.000808828,0.000808828,0.000808828
28,663.446,nan,nan,nan,0.00374,0.0102,0.00191,0.0015,nan,nan,nan,0.000775822,0.000775822,0.000775822
29,685.893,nan,nan,nan,0.00352,0.00948,0.00179,0.00143,nan,nan,nan,0.000742815,0.000742815,0.000742815
30,708.401,nan,nan,nan,0.00349,0.00948,0.00178,0.00148,nan,nan,nan,0.000709809,0.000709809,0.000709809
31,730.909,nan,nan,nan,0.00348,0.00948,0.00178,0.00147,nan,nan,nan,0.000676802,0.000676802,0.000676802
32,753.441,nan,nan,nan,0.00499,0.01385,0.00257,0.00186,nan,nan,nan,0.000643795,0.000643795,0.000643795
33,780.717,nan,nan,nan,0.0045,0.01239,0.00231,0.0018,nan,nan,nan,0.000610789,0.000610789,0.000610789
34,807.896,nan,nan,nan,0.00567,0.01603,0.00293,0.00205,nan,nan,nan,0.000577782,0.000577782,0.000577782
35,830.44,nan,nan,nan,0.00441,0.01239,0.00226,0.00178,nan,nan,nan,0.000544776,0.000544776,0.000544776
36,857.736,nan,nan,nan,0.00472,0.01312,0.00242,0.00183,nan,nan,nan,0.000511769,0.000511769,0.000511769
37,880.186,nan,nan,nan,0.00529,0.01458,0.00272,0.00193,nan,nan,nan,0.000478762,0.000478762,0.000478762
38,902.726,nan,nan,nan,0.00452,0.01239,0.00232,0.00174,nan,nan,nan,0.000445756,0.000445756,0.000445756
39,925.248,nan,nan,nan,0.00523,0.01458,0.00269,0.00189,nan,nan,nan,0.000412749,0.000412749,0.000412749
40,948.183,nan,nan,nan,0.00536,0.01458,0.00276,0.00194,nan,nan,nan,0.000379743,0.000379743,0.000379743
41,970.815,nan,nan,nan,0.00262,0.00729,0.00133,0.00114,nan,nan,nan,0.000346736,0.000346736,0.000346736
42,993.021,nan,nan,nan,0.00179,0.00437,0.0009,0.00072,nan,nan,nan,0.000313729,0.000313729,0.000313729
43,1015.21,nan,nan,nan,0.00199,0.00437,0.00101,0.00082,nan,nan,nan,0.000280723,0.000280723,0.000280723
44,1037.35,nan,nan,nan,0.00246,0.0051,0.00124,0.001,nan,nan,nan,0.000247716,0.000247716,0.000247716
45,1059.62,nan,nan,nan,0.00296,0.00628,0.0015,0.00116,nan,nan,nan,0.00021471,0.00021471,0.00021471
46,1081.87,nan,nan,nan,0.00349,0.00701,0.00177,0.0014,nan,nan,nan,0.000181703,0.000181703,0.000181703
47,1104.01,nan,nan,nan,0.00352,0.00656,0.00181,0.00146,nan,nan,nan,0.000148696,0.000148696,0.000148696
48,1126.14,nan,nan,nan,0.00401,0.00774,0.00205,0.00165,nan,nan,nan,0.00011569,0.00011569,0.00011569
49,1148.25,nan,nan,nan,0.00438,0.00802,0.00225,0.00186,nan,nan,nan,8.26832e-05,8.26832e-05,8.26832e-05
50,1170.55,nan,nan,nan,0.00495,0.00875,0.00255,0.0021,nan,nan,nan,4.96766e-05,4.96766e-05,4.96766e-05
